ProductID,forecast,past_forecast,previous_orders,sales,store_stock,dc_intake,dc_stock
130,4134,4131,491,5910,161,6,1
133,4134,4131,475,5600,161,5,1
131,4134,4131,445,4737,161,6,1
134,4134,4131,425,4705,161,7,1
127,4134,4131,320,4177,161,5,1
161,4134,4131,309,3633,161,7,1
137,4134,4131,308,3084,161,5,1
136,4134,4131,307,3614,161,5,1
164,4134,4131,302,3902,161,7,1
128,4134,4131,287,2806,161,6,1
160,4134,4131,249,4220,161,7,1
140,4134,4131,215,1730,161,5,1
158,4134,4131,205,2140,161,8,1
163,4134,4131,196,4094,161,7,1
167,4134,4131,166,2565,161,7,1
166,4134,4131,160,2748,161,7,1
157,4134,4131,159,2679,161,7,1
170,4134,4131,108,1327,161,7,1
104,3339,4131,278,2979,161,1,1
103,3339,4131,252,3902,161,2,1
101,3339,4131,251,3000,161,2,1
107,3339,4131,235,2040,161,1,1
100,3339,4131,196,3984,161,2,1
98,3339,4131,179,1739,161,2,1
106,3339,4131,133,2697,161,2,1
110,3339,4131,119,1065,161,2,1
97,3339,4131,82,2692,161,2,1
95,3339,4131,68,826,161,2,1
92,3339,4131,2,147,161,2,1
119,3339,4131,2,13,161,2,1
113,3339,4131,1,602,161,2,1
116,3339,4131,0,421,161,2,1
584,3339,1431,461,486,161,4,1
581,3339,1431,460,507,161,4,1
587,3339,1431,444,376,161,3,1
578,3339,1431,443,378,161,3,1
590,3339,1431,380,281,161,3,1
583,3339,1431,20,85,161,6,1
580,3339,1431,19,78,161,6,1
586,3339,1431,18,39,161,3,1
577,3339,1431,13,55,161,6,1
575,3150,1346,206,151,151,3,1
135,3068,3065,125,1551,119,5,1
132,3068,3065,114,1417,119,5,1
138,3068,3065,109,1202,119,5,1
165,3068,3065,32,1114,119,7,1
162,3068,3065,30,1013,119,7,1
168,3068,3065,22,846,119,6,1
159,3068,3065,13,564,119,3,1
129,3068,3065,10,694,119,5,1
14,3064,2369,290,2704,119,9,1
11,3064,2369,267,2735,119,11,1
13,3064,2369,261,3092,119,9,1
10,3064,2369,248,3319,119,9,1
17,3064,2369,222,1935,119,9,1
8,3064,2369,174,1673,119,9,1
7,3064,2369,162,2361,119,9,1
16,3064,2369,157,2172,119,9,1
20,3064,2369,103,1137,119,9,1
5,3064,2369,81,803,119,6,1
15,3064,2369,61,964,119,9,1
12,3064,2369,42,788,119,9,1
18,3064,2369,21,756,119,8,1
9,3064,2369,10,541,119,6,1
43,2604,3056,203,2118,119,6,1
40,2604,3056,202,2248,119,7,1
41,2604,3056,190,1749,119,5,1
37,2604,3056,169,1516,119,4,1
44,2604,3056,158,1891,119,4,1
47,2604,3056,156,1282,119,4,1
50,2604,3056,138,708,119,4,1
38,2604,3056,123,1092,119,5,1
46,2604,3056,92,1317,119,4,1
35,2604,3056,80,527,119,4,1
45,2604,3056,50,563,119,4,1
48,2604,3056,23,428,119,4,1
42,2604,3056,12,487,119,4,1
39,2604,3056,9,314,119,4,1
585,2457,1053,45,25,118,3,1
588,2457,1053,29,16,118,5,1
582,2457,1053,27,21,118,6,1
579,2457,1053,10,3,118,3,1
520,1908,2859,732,1104,161,2,1
517,1908,2859,673,868,161,1,1
523,1908,2859,599,874,161,4,1
521,1908,2859,596,887,161,3,1
524,1908,2859,592,845,161,3,1
518,1908,2859,523,663,161,2,1
526,1908,2859,447,620,161,2,1
527,1908,2859,435,569,161,2,1
530,1908,2859,291,331,161,2,1
